ID,name,group,symbol,height,power,ability,description
1,하츄핑,로열,하트,25,9,사랑의 빛,밝은 빛으로 적을 방해
2,바로핑,로열,구름,24,8,올바른 문법,"기호/이모티콘을 만들어 날려, 상대를 바른 생활로 유도"
3,아자핑,로열,별,26,9,용기의 플래시,"상대를 잠시 동안 움직이지 못하게 하고, 용기를 북돋움"
4,차차핑,로열,네잎클로버,23,8,희망의 물줄기,"물을 뿌려 마법을 풀거나, 사물/대상의 크기를 키움"
5,라라핑,로열,음표가 붙은 리본,25,8,즐거운 댄스,"대상을 춤추게 하거나, 즐겁게 만듦"
6,키키핑,일반,막대사탕,22,6,장난의 마법,팅클퍼프로 상대를 장난꾸러기로 변하게 함
7,아잉핑,일반,리본봉,22,5,애교의 마법,팅클퍼프로 상대를 애교쟁이로 변하게 함
8,부끄핑,일반,당근쿠션,23,5,부끄러움의 마법,팅클퍼프로 상대를 부끄럼쟁이로 변하게 함
9,부투핑,일반,깃발,24,7,승부욕의 마법,상대의 승부욕을 불타오르게 함
10,깜빡핑,일반,지우개,23,6,망각의 마법,상대가 잠시 동안 잊어버리게 만듦
